2026-03-29 00:52:52 | INFO | application.py:148 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"/home/fslong/.copaw/workspaces/default","enable_logo":false,"language":"","thread_pool_max_workers":16,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"as_llms":{"default":{"backend":"openai","model_name":"qwen3.5-plus"}},"as_llm_formatters":{"default":{"backend":"openai"}},"as_token_counters":{"default":{"backend":"rule","token_count_estimate_divisor":3.75}},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"use_dimensions":false,"enable_cache":true,"max_batch_size":10,"max_cache_size":2000,"max_input_length":8192,"api_key":"","base_url":""}},"vector_stores":{},"file_stores":{"default":{"backend":"chroma","embedding_model":"default","store_name":"copaw","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["/home/fslong/.copaw/workspaces/default/MEMORY.md","/home/fslong/.copaw/workspaces/default/memory.md","/home/fslong/.copaw/workspaces/default/memory"],"suffix_filters":[".md"],"recursive":false}},"metadata":{}}
2026-03-29 00:52:52 | INFO | base_embedding_model.py:158 | _load_cache | No cache file found at /home/fslong/.copaw/workspaces/default/embedding_cache/embedding_cache.jsonl, starting with empty cache
2026-03-29 00:52:52 | INFO | chroma_file_store.py:135 | start | ChromaDB initialized with collection: chunks_copaw
2026-03-29 00:52:52 | INFO | chroma_file_store.py:136 | start | File metadata will be persisted to: /home/fslong/.copaw/workspaces/default/copaw_file_metadata.json
2026-03-29 00:52:52 | INFO | base_file_watcher.py:86 | start | Started watching: ['/home/fslong/.copaw/workspaces/default/MEMORY.md', '/home/fslong/.copaw/workspaces/default/memory.md', '/home/fslong/.copaw/workspaces/default/memory']
2026-03-29 00:52:52 | INFO | application.py:266 | start | ReMe Application started
2026-03-29 00:52:52 | INFO | chroma_file_store.py:623 | clear_all | Cleared all data from ChromaDB collection: chunks_copaw
2026-03-29 00:52:52 | INFO | base_file_watcher.py:81 | _initialize_and_watch | Cleared all indexed data on start
2026-03-29 00:52:52 | WARNING | base_file_watcher.py:120 | _scan_existing_files | Watch path does not exist: /home/fslong/.copaw/workspaces/default/memory.md
2026-03-29 00:52:52 | INFO | base_file_watcher.py:141 | _scan_existing_files | [SCAN_ON_START] Found 19 existing files matching watch criteria
2026-03-29 00:52:55 | INFO | full_file_watcher.py:66 | _on_changes | delete_file /home/fslong/.copaw/workspaces/default/memory/2026-03-17.md
2026-03-29 00:52:55 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 1 chunks for /home/fslong/.copaw/workspaces/default/memory/2026-03-17.md
2026-03-29 00:52:55 | INFO | full_file_watcher.py:78 | _on_changes | File 1 changed: /home/fslong/.copaw/workspaces/default/memory/2026-03-17.md
2026-03-29 00:52:55 | INFO | full_file_watcher.py:66 | _on_changes | delete_file /home/fslong/.copaw/workspaces/default/memory/2026-03-10.md
2026-03-29 00:52:56 | INFO | full_file_watcher.py:69 | _on_changes | Upserted 3 chunks for /home/fslong/.copaw/workspaces/default/memory/2026-03-10.md
2026-03-29 00:52:56 | INFO | full_file_watcher.py:78 | _on_changes | File 1 changed: /home/fslong/.copaw/workspaces/default/memory/2026-03-10.md
2026-03-29 00:52:56 | INFO | full_file_watcher.py:66 | _on_changes | delete_file /home/fslong/.copaw/workspaces/default/memory/2026-03-28.md
