2026-02-04 22:06:27 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['tencent', 'weibo']
2026-02-04 22:06:27 | INFO     | NewsAggregator | info:72 | 微博热搜获取成功: 15 条
2026-02-04 22:06:27 | INFO     | NewsAggregator | info:72 | 共获取 25 条新闻
2026-02-04 22:06:27 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_220627.md
2026-02-04 22:08:30 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn', 'tencent']
2026-02-04 22:08:30 | INFO     | NewsAggregator | info:72 | 关键词扩展: 'A股,股市,股票,涨停,跌停,创业板,上证,深证' -> 'a股,上证,创业板,涨停,深证,股市,股票,跌停'
2026-02-04 22:08:30 | INFO     | NewsAggregator | info:72 | 共获取 0 条新闻
2026-02-04 22:08:36 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn', 'tencent', '36kr']
2026-02-04 22:08:36 | INFO     | NewsAggregator | info:72 | 关键词扩展: '金融,证券,投资,市场' -> '市场,投资,证券,金融'
2026-02-04 22:08:37 | INFO     | NewsAggregator | info:72 | 共获取 0 条新闻
2026-02-04 22:08:42 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn', 'tencent']
2026-02-04 22:08:43 | INFO     | NewsAggregator | info:72 | 共获取 39 条新闻
2026-02-04 22:08:43 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_220843.md
2026-02-04 22:08:51 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn']
2026-02-04 22:08:51 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: wallstreetcn
2026-02-04 22:08:51 | INFO     | NewsAggregator | info:72 | 共获取 19 条新闻
2026-02-04 22:08:51 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_220851.md
2026-02-04 22:08:55 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['tencent']
2026-02-04 22:08:55 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: tencent
2026-02-04 22:08:55 | INFO     | NewsAggregator | info:72 | 共获取 10 条新闻
2026-02-04 22:08:55 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_220855.md
2026-02-04 22:09:02 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['36kr']
2026-02-04 22:09:02 | INFO     | NewsAggregator | info:72 | 关键词扩展: '投资,A股,股市' -> 'a股,投资,股市'
2026-02-04 22:09:02 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: 36kr
2026-02-04 22:09:02 | INFO     | NewsAggregator | info:72 | 共获取 0 条新闻
2026-02-04 22:09:07 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['36kr']
2026-02-04 22:09:07 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: 36kr
2026-02-04 22:09:07 | INFO     | NewsAggregator | info:72 | 缓存已设置: 36kr (TTL: 300s)
2026-02-04 22:09:07 | INFO     | NewsAggregator | info:72 | 共获取 20 条新闻
2026-02-04 22:09:07 | INFO     | NewsAggregator | info:72 | 报告已保存: reports/news_report_20260204_220907.md
2026-02-04 22:13:55 | INFO     | NewsAggregator | info:72 | 开始获取新闻，数据源: ['wallstreetcn']
2026-02-04 22:13:55 | INFO     | NewsAggregator | info:72 | 关键词扩展: 'A股,股市,上证,深证,创业板' -> 'a股,上证,创业板,深证,股市'
2026-02-04 22:13:55 | DEBUG    | NewsAggregator | debug:68 | 缓存未命中: wallstreetcn
2026-02-04 22:13:55 | INFO     | NewsAggregator | info:72 | 共获取 0 条新闻
